iter	Passed	Remaining
598	125139	83774
599	125337	83558
600	125543	83347
601	125735	83127
602	125939	82915
603	126140	82701
604	126351	82494
605	126551	82279
606	126744	82060
607	126930	81836
608	127139	81627
609	127328	81406
610	127520	81187
611	127711	80967
612	127899	80745
613	128077	80518
614	128272	80300
615	128467	80083
616	128694	79886
617	128888	79668
618	129104	79464
619	129297	79246
620	129505	79038
621	129712	78828
622	129922	78621
623	130114	78402
624	130331	78198
625	130521	77979
626	130741	77777
627	130968	77580
628	131209	77390
629	131429	77188
630	131668	76997
631	131867	76783
632	132080	76577
633	132311	76381
634	132519	76172
635	132717	75957
636	132909	75739
637	133109	75525
638	133320	75318
639	133519	75104
640	133730	74897
641	133937	74687
642	134144	74478
643	134363	74275
644	134580	74071
645	134795	73866
646	134992	73651
647	135198	73441
648	135390	73223
649	135595	73012
650	135807	72806
651	136004	72591
652	136211	72382
653	136409	72167
654	136618	71959
655	136825	71750
656	137020	71534
657	137228	71325
658	137446	71121
659	137646	70908
660	137869	70707
661	138083	70501
662	138267	70280
663	138467	70067
664	138663	69852
665	138871	69644
666	139085	69438
667	139296	69231
668	139509	69024
669	139716	68815
670	139909	68599
671	140119	68391
672	140326	68182
673	140528	67970
674	140717	67752
675	140923	67543
676	141126	67332
677	141336	67124
678	141525	66906
679	141727	66695
680	141922	66480
681	142134	66274
682	142350	66069
683	142542	65852
684	142747	65643
685	142945	65430
686	143147	65218
687	143352	65008
688	143545	64793
689	143733	64576
690	143948	64370
691	144152	64160
692	144353	63949
693	144563	63741
694	144781	63537
695	144964	63317
696	145165	63106
697	145351	62888
698	145552	62677
699	145728	62455
700	145939	62248
701	146165	62047
702	146352	61830
703	146567	61624
704	146773	61415
705	146973	61204
706	147166	60989
707	147358	60774
708	147571	60568
709	147764	60354
710	147963	60142
711	148142	59922
712	148344	59712
713	148545	59501
714	148756	59294
715	148980	59092
716	149175	58879
717	149375	58668
718	149563	58452
719	149766	58242
720	149948	58024
721	150142	57811
722	150339	57598
723	150554	57393
724	150760	57185
725	150963	56975
726	151165	56765
727	151364	56553
728	151552	56338
729	151759	56130
730	151965	55921
731	152154	55706
732	152354	55495
733	152546	55282
734	152752	55074
735	152959	54865
736	153153	54652
737	153365	54446
738	153566	54236
739	153766	54026
740	153958	53812
741	154155	53601
742	154371	53396
743	154583	53190
744	154791	52982
745	154995	52773
746	155190	52561
747	155379	52346
748	155568	52133
749	155779	51926
750	155969	51712
751	156165	51501
752	156357	51288
753	156559	51079
754	156751	50866
755	156950	50656
756	157131	50439
757	157324	50227
758	157537	50021
759	157720	49806
760	157900	49590
761	158082	49374
762	158284	49165
763	158485	48956
764	158691	48748
765	158889	48538
766	159085	48327
767	159278	48115
768	159475	47904
769	159667	47692
770	159863	47482
771	160059	47271
772	160246	47058
773	160442	46847
774	160645	46639
775	160876	46438
776	161102	46236
777	161295	46025
778	161474	45809
779	161658	45596
780	161866	45389
781	162052	45175
782	162240	44963
783	162443	44754
784	162668	44552
785	162879	44346
786	163081	44137
787	163275	43926
788	163456	43712
789	163646	43500
790	163867	43297
791	164081	43092
792	164276	42881
793	164484	42674
794	164697	42469
795	164888	42257
796	165096	42050
797	165292	41841
798	165509	41636
799	165700	41425
800	165914	41219
801	166115	41010
802	166314	40801
803	166524	40595
804	166730	40388
805	166932	40179
806	167128	39970
807	167335	39762
808	167528	39552
809	167731	39344
810	167951	39140
811	168155	38932
812	168341	38720
813	168542	38512
814	168729	38300
815	168924	38090
816	169118	37880
817	169323	37673
818	169528	37465
819	169735	37258
820	169929	37049
821	170131	36841
822	170332	36632
823	170543	36426
824	170754	36220
825	170949	36011
826	171136	35800
827	171337	35591
828	171519	35379
829	171711	35169
830	171924	34964
831	172139	34758
832	172329	34548
833	172518	34338
834	172715	34129
835	172905	33919
836	173092	33708
837	173293	33500
838	173474	33288
839	173652	33076
840	173849	32868
841	174061	32662
842	174258	32453
843	174460	32246
844	174661	32038
845	174857	31829
846	175054	31621
847	175254	31413
848	175459	31206
849	175653	30997
850	175843	30788
851	176056	30582
852	176242	30372
853	176421	30161
854	176620	29953
855	176803	29742
856	176988	29532
857	177187	29324
858	177381	29116
859	177567	28906
860	177774	28699
861	177964	28490
862	178155	28281
863	178347	28073
864	178528	27862
865	178728	27655
866	178946	27450
867	179132	27241
868	179328	27033
869	179536	26827
870	179760	26623
871	179986	26420
872	180186	26212
873	180372	26003
874	180586	25798
875	180781	25590
